型號,價格
X412FA-0271G5405U,15900
X412FA-0361G10110U,17900
X412FA-0198S10210U,23900
X412FA-0181G10210U,23900
X412FA-0208B10210U,23900
X412FL-0278B10210U,25900
X412FL-0231G10210U,25900
X512JA-0041G1005G1,17900
X512JP-0088S1035G1,24900
X512JP-0091G1035G1,24900
X512JP-0198S1035G1,24900
X512JP-0121G1035G1,24900
X512JP-0101G1065G7,31900
X512JP-0118S1065G7,31900
X712FA-0138S10110U,21900
X712FB-0058S10210U,26900
S403FA-0242S10210U,28900
S403FA-0232C10210U,28900
S403FA-0252C10510U,31900
S531FL-0122B8265U,25900
S531FL-0272G10510U,35900
S531FL-0332G10210U,30900
S333JP-0028W1035G1,30900
S433FL-0098W10210U,29900
S433FL-0148G10210U,29900
S433FL-0158R10210U,29900
S433FL-0128W10510U,34900
S533FL-0078W10210U,30900
S533FL-0118R10210U,30900
S533FL-0108G10210U,30900
S533FL-0088W10510U,35900
S533FL-0098G10510U,35900
X413FP-0021W10210U,26900
X413FP-0031K10210U,26900
X571LI-0051K10750H,38900
X571LI-0061K10300H,33900
X571LH-0071K10300H,32900
FX505DV-0081B3750H,33900
FX505GT-0061B9300H,28900
FX506LH-0021A10300H,31900
FX506LH-0031A10750H,35900
FX506LI-0031A10750H,37490
FX706LI-0031A10750H,37900
FA506IH-0031A4600H,29900
FA506IH-0041A4800H,33490
FA506II-0031A4800H,35490
FA506IU-0041A4800H,38490
FA506IU-0021A4900H,43900
FA506IV-0051A4900H,46900
FA706II-0021A4800H,35490
FA706IU-0061A4800H,38490
G731GU-G-0111C9750H,44900
G512LV-0031C10750H,45490
G512LV-0041H10750H,45490
G512LU-0081H10750H,41900
G512LU-0031C10750H,41900
G712LU-0021C10750H,42490
G712LW-0021C10750H,58900
GA401II-0051D4800HS,40900
GA401II-0061E4800HS,40900
GA401IU-0161D4800HS,44900
GA401IU-0051E4800HS,44900
GA401IU-0182D4800HS,51900
GA502IV-0024A4800H,41900
GU502LU-0022C10750H,49900
G532LWS-0031A10875H,69900
G732LWS-0031A10875H,71900
GX502LXS-0041A10875H,89900
GX701LWS-0021A10875H,82900
GX701LXS-0021A10875H,98900
UX325JA-0082G1035G1,31900
UX325JA-0072P1035G1,31900
UX425JA-0052G1065G7,35900
UX425JA-0022G1035G1,31900
UX425JA-0232P1035G1,31900
UX463FL-0042G10510U,38900
UX463FL-0022G10210U,34900
UX434FQ-0052B10210U,38900
UX434FQ-0032B10510U,46900
UX434FQ-0062S10510U,46900
UX434FQ-0132S10210U,38900
UX434FLC-0132S10210U,37900
UX481FL-0171A10510U,52900
UX481FL-0051A10210U,42900
UX534FTC-0172B10510U,51900
UX534FTC-0102B10210U,40900
UX534FTC-0122S10210U,40900
B9450FA-0141A10510U,59900
B9450FA-0171A10510U,55900
B9450FA-0211A10210U,46880
B9450FA-0181A10210U,49900
X509JB-0031G1035G1,21490
X509JB-0121S1035G1,21490
X409MA-0061GN4100,13900
X409MA-0091GN4020,13900
X509MA-0071GN4100,13900
X409JP-0041G1035G1,22490
X409JP-0051G1035G1,23900
X509JP-0101G1035G1,23900
X509JP-0121S1035G1,23999
TP401MA-0141AN4020,12900
TP412FA-0121A10110U,17900
E410MA-0121PN4020,10900
E410MA-0131BN4020,10900
E410MA-0111WN4020,10900
GA401IU-0152E4800HS,51900
GA401IV-0102E4900HS,56900
UX581LV-0021A10980HK,119000
GX550LXS-0031C10980HK,127490
FA706IH-0021A4800H,33490
G712LV-0041C10750H,45900
G512LW-0021C10750H,57900
GU502LV-0062D10750H,56900
FA706IU-0091A4900H,43900
X571LH-0211K10300H,31900
X571LH-0221K10750H,35900
UX425JA-0262G1065G7,37900
UX425JA-0242P1065G7,35900
GU502LU-0092A10750H,49900
FX505DT-0101B3750H,25900
A515-55G-54HK,22900
SF114-32-C97B,15799
SF114-32-C086,15799
SF314-58G-55CK,24088
SF314-58-56B7,21888
SF314-58-37S3,18690
SF114-32-C4WU,15299
SF114-32-C4H9,15299
SF114-32-C3AR,15299
A515-55G-50LQ,23900
A515-55G-56X3,23900
X571LH-0081K10750H,36900
FX505DT-0071B3750H,24900
XENIA159GENI71660TI-BKCTW,49900
XENIA159GENI72070Q-BKCTW,59900
L3-15IML05-81Y300DKTW,11900
L3-15IML05-81Y300EVTW,19900
L340-15IRH-81LK00S9TW,29990
L340-15IRH-81LK00TDTW,24900
G3I-81Y4005XTW,32990
PH315-52-76R0,45900
PH315-53-79EB,44900
PH315-53-59JT,39599
AN517-52-76SP,35888
AN515-55-53CZ,29900
AN515-55-521N,30888
AN515-55-51GB,29900
AN515-55-549Q,37900
A111-31-C86U,9900
A111-31-C8J2,9900
A315-55G-52KU,20900
A315-55G-52YR,20900
A315-34-P3G4,14900
A317-51G-56PJ,22099
A317-32-P3XN,15500
A515-54G-5227,21900
A515-54G-55D8,21900
SF314-42-R5CD,29280
SF314-56G-501T,18900
SF314-56G-59M7,19900
SF314-57-787W,27900
SF314-57-56K7,23900
SF314-57-56K7(PCIe512G),25490
SF314-57G-50MR,26599
SF314-57G-54DY,26599
SF314-57G-55UK,27899
SF314-57G-57BM,28888
SF314-58-55AH,20888
SF314-58-5720,21199
SF314-58G-50GS,23388
SF314-58G-556B,23388
SF314-58-51NL,20900
SF314-58G-52AL,23300
SF313-52G-52A4,29499
SF514-54T-58EB,29999
SF514-54T-754W,33990
SF514-54GT-729E,37900
SF514-54GT-57N3,31599
SF514-54GT-52AB,31599
SF514-54GT-770G,38290
SF514-54GT-50YD,36499
SF514-54GT-5505,32799
SF514-54GT-5709,32799
SF514-54GT-54FU,33499
SF514-54GT-59UX,33499
SF514-54GT-79X2,39199
SF514-54GT-76YC,39199